account_id,account_name,account_description,industry,segment,region,nr_employees,days_to_next_renewal,days_since_last_sales_activity,nr_support_tickets,ai_usage,nr_active_users,nr_licensed_seats,current_revenue,call_transcript_summary,revenue_end_of_quarter
ACC-0001,Bolt Tech Ventures,Builds developer productivity platforms with integrated CI/CD pipelines.,Technology,SMB,APAC,53,33,58,0,0.584,12,18,9761.87,Expansion conversation initiated by Head of Operations. They want dashboard module access for the entire engineering org.,12610.7
ACC-0002,Jade Campus AI,Builds virtual classroom tools with real-time collaboration features.,Education,SMB,LATAM,174,143,139,11,0.215,7,18,15737.37,"Check-in with VP of Sales. Steady usage, no complaints. They'll re-evaluate at next renewal cycle.",15737.37
ACC-0003,Wave Alloy Dynamics,Manufactures steel structural components for commercial construction projects.,Manufacturing,SMB,NA,196,183,49,3,0.261,5,16,3525.95,Mid-quarter sync. Director of Engineering is happy with support response times. No changes planned.,3525.95
ACC-0004,Nexus Shelf Solutions,Provides inventory management and demand forecasting tools for omnichannel retailers.,Retail,Mid-Market,EMEA,1178,206,69,2,0.659,56,94,81870.34,Client running an internal case study on our impact. Director of Engineering plans to use it to expand to customer success.,115933.13
ACC-0005,Delta Deal Analytics,Builds retail analytics dashboards tracking foot traffic and conversion rates.,Retail,Mid-Market,APAC,1869,248,1,2,0.496,156,173,78667.59,Exciting call with CTO. They want to roll out to HR — requesting 85 additional seats.,97106.52
ACC-0006,Vertex Media Global,Operates a creative agency specializing in branded content and short-form video.,Media,SMB,EMEA,15,186,0,0,0.593,22,30,15035.45,Client running an internal case study on our impact. Director of Engineering plans to use it to expand to HR.,16956.57
ACC-0007,Onyx Net Studio,Builds machine learning operations tooling for data science teams.,Technology,Mid-Market,APAC,1940,212,63,6,0.451,71,142,38749.33,Brief call with CMO. Budget is flat for next year. Happy but no plans to expand seats.,38749.33
ACC-0008,Vivid Mill HQ,Produces precision-machined components for the aerospace and defense industry.,Manufacturing,SMB,EMEA,198,80,55,7,0.451,15,29,15870.97,"Support tickets are low. marketing team uses it daily. Stable relationship, nothing urgent.",15870.97
ACC-0009,Sage Med Corp,Manufactures diagnostic imaging equipment for radiology departments.,Healthcare,Mid-Market,NA,1351,112,55,9,0.584,53,77,72317.85,Product feedback session — they'd like improvements to automation engine but overall satisfied.,72317.85
ACC-0010,Velo Code Inc,Delivers API management and gateway solutions for microservices architectures.,Technology,Enterprise,APAC,43152,103,41,4,0.352,584,1014,1056001.82,"Account is in maintenance mode. CFO sees us as a reliable tool, not a strategic priority.",1056001.82
ACC-0011,Orbit Shelf IO,Builds retail analytics dashboards tracking foot traffic and conversion rates.,Retail,Enterprise,NA,7492,45,83,6,0.294,181,271,1365812.61,Quick check-in — everything running smoothly. VP of Sales is focused on other priorities this quarter.,1365812.61
ACC-0012,Peak Media Inc,Develops video streaming infrastructure and content delivery solutions.,Media,SMB,NA,89,263,76,7,0.0,30,43,4545.76,Exciting call with CFO. They want to roll out to operations — requesting 5 additional seats.,6760.21
ACC-0013,Ultra Mentor AI,Operates a network of language schools with immersive learning methodologies.,Education,Enterprise,EMEA,6803,88,62,4,0.481,527,795,192468.16,Client saw great results in HR and wants to extend to two more teams. Discussing 486 seat add-on.,283999.19
ACC-0014,Zeta Academy Group,Develops adaptive learning software for K-12 school districts.,Education,Mid-Market,APAC,537,138,45,2,0.0,19,25,99172.68,,134950.27
ACC-0015,Spark Mentor Platform,Offers corporate training and upskilling platforms for Fortune 500 companies.,Education,Mid-Market,LATAM,1430,116,42,3,0.211,66,108,48441.52,Upsell discussion went very well. Head of Operations has internal buy-in and wants to fast-track 44 new seats.,66498.12
ACC-0016,Rapid Campus Ventures,Runs a coding bootcamp with both in-person and remote cohort programs.,Education,Enterprise,NA,27178,40,71,10,0.0,299,622,1962024.03,Annual review meeting. The account values automation engine but isn't looking to grow usage right now.,1962024.03
ACC-0017,Nexus Deal HQ,Offers personalized product recommendation engines for online fashion retailers.,Retail,Mid-Market,NA,570,247,77,4,0.0,45,65,78056.67,"Check-in with CTO. Steady usage, no complaints. They'll re-evaluate at next renewal cycle.",78056.67
ACC-0018,Flux Stack Hub,Builds machine learning operations tooling for data science teams.,Technology,SMB,LATAM,97,82,,9,0.257,7,17,3268.81,"Account is in maintenance mode. CTO sees us as a reliable tool, not a strategic priority.",3268.81
ACC-0019,Apex Tutor Hub,Provides learning management systems tailored for healthcare continuing education.,Education,Enterprise,NA,24855,54,8,2,0.533,1101,1398,103098.61,Client running an internal case study on our impact. Head of Operations plans to use it to expand to finance.,151913.55
ACC-0020,Rune Brand Ventures,Runs a subscription box service for curated health and wellness products.,Retail,SMB,NA,99,112,78,8,0.409,23,35,6506.78,Quick check-in — everything running smoothly. CMO is focused on other priorities this quarter.,6506.78
ACC-0021,Beta Goods Ventures,Provides inventory management and demand forecasting tools for omnichannel retailers.,Retail,SMB,NA,39,64,58,2,0.558,23,38,15855.5,"Client is consolidating on our platform, replacing Clari. Expected to add 14+ seats.",21524.56
ACC-0022,Helix Fund Analytics,Operates a cross-border payment processing network for e-commerce merchants.,Finance,Mid-Market,EMEA,1132,270,41,3,0.614,133,150,21958.68,Cross-sell opportunity: CMO wants API access for finance. Initial ask is 56 seats.,31079.55
ACC-0023,Beta Health Systems,Runs clinical trial management services for pharmaceutical companies.,Healthcare,Enterprise,LATAM,19643,75,7,2,0.409,904,1437,1981276.67,Quick check-in — everything running smoothly. COO is focused on other priorities this quarter.,1981276.67
ACC-0024,Wynd Reel Partners,Provides programmatic advertising technology for connected TV and streaming.,Media,SMB,APAC,199,102,42,4,0.222,7,15,6936.29,Brief call with Director of Engineering. Budget is flat for next year. Happy but no plans to expand seats.,6936.29
ACC-0025,Flux Campus Labs,Specializes in early childhood education curriculum and assessment tools.,Education,Enterprise,APAC,44054,95,58,2,0.411,542,1645,404753.93,"Support tickets are low. customer success team uses it daily. Stable relationship, nothing urgent.",404753.93
ACC-0026,Spark Steel Systems,Manufactures steel structural components for commercial construction projects.,Manufacturing,Mid-Market,NA,1214,36,92,6,0.16,61,138,80402.11,Solid account. operations uses it consistently. COO may revisit expansion in Q3.,80402.11
ACC-0027,Prism Fund Co,Builds open banking APIs enabling fintech integrations for legacy banks.,Finance,SMB,NA,50,33,133,8,0.01,2,6,11967.72,Friendly call. Client appreciates the stability of the platform. No risk signals detected.,11967.72
ACC-0028,Alpha Learn HQ,Offers corporate training and upskilling platforms for Fortune 500 companies.,Education,SMB,EMEA,185,153,70,0,0.294,22,30,7461.97,Renewal conversation went smoothly. VP of Sales confirmed they plan to continue at the current level.,7461.97
ACC-0029,Alpha Store Platform,Specializes in supply chain visibility solutions for fast-moving consumer goods.,Retail,SMB,NA,26,86,13,0,0.505,31,44,4929.49,Annual review meeting. The account values analytics suite but isn't looking to grow usage right now.,4929.49
ACC-0030,Luma Market Global,Provides drop-shipping fulfillment and logistics for small e-commerce businesses.,Retail,Mid-Market,NA,1467,50,85,5,0.501,59,85,87893.49,Mid-quarter sync. COO is happy with support response times. No changes planned.,87893.49
ACC-0031,Terra Store Systems,Develops point-of-sale and loyalty program software for brick-and-mortar stores.,Retail,SMB,NA,169,100,65,3,0.0,4,13,16784.73,Mid-quarter sync. Head of Operations is happy with support response times. No changes planned.,16784.73
ACC-0032,Wynd Pharma Group,Offers population health analytics for insurance providers and health systems.,Healthcare,SMB,NA,184,96,99,2,0.248,3,8,10806.12,Quick check-in — everything running smoothly. Head of Operations is focused on other priorities this quarter.,10806.12
ACC-0033,Forge Digital Hub,Provides AI-powered cybersecurity monitoring for mid-size companies.,Technology,Mid-Market,EMEA,1262,132,,1,0.682,30,33,74232.29,Cross-sell opportunity: COO wants analytics suite for operations. Initial ask is 40 seats.,95418.66
ACC-0034,Nexus Style Global,Develops point-of-sale and loyalty program software for brick-and-mortar stores.,Retail,SMB,APAC,135,269,60,13,0.228,15,40,17297.45,Brief call with COO. Budget is flat for next year. Happy but no plans to expand seats.,17297.45
ACC-0035,Luma Play Labs,Runs a stock photography and video marketplace for creative professionals.,Media,Enterprise,NA,37749,103,37,2,0.779,1796,1964,1376829.87,New use case identified in engineering. COO requesting scoping call for 335 additional licenses.,1640081.17
ACC-0036,Helix Code AI,Operates a cloud-native observability platform for distributed systems.,Technology,Mid-Market,EMEA,1175,199,49,4,0.0,114,158,60460.66,Renewal conversation went smoothly. CMO confirmed they plan to continue at the current level.,60460.66
